policy_theme,label_id,keyword,normalized_keyword,keyword_weight,keyword_type
Energy Security,L1,ketahanan energi,ketahanan energi,2.0,strong
Energy Security,L1,keamanan energi,keamanan energi,1.0,normal
Energy Security,L1,kemandirian energi,kemandirian energi,1.0,normal
Energy Security,L1,kedaulatan energi,kedaulatan energi,1.0,normal
Energy Security,L1,ketersediaan energi,ketersediaan energi,2.0,strong
Energy Security,L1,jaminan ketersediaan energi,jaminan ketersediaan energi,1.35,normal
Energy Security,L1,cadangan penyangga,cadangan penyangga,1.0,normal
Energy Security,L1,cadangan penyangga energi,cadangan penyangga energi,1.35,normal
Energy Security,L1,cadangan energi,cadangan energi,1.0,normal
Energy Security,L1,cadangan energi nasional,cadangan energi nasional,2.35,strong
Energy Security,L1,cadangan strategis,cadangan strategis,1.0,normal
Energy Security,L1,cadangan operasional,cadangan operasional,1.0,normal
Energy Security,L1,cadangan bahan bakar,cadangan bahan bakar,1.35,normal
Energy Security,L1,pasokan energi,pasokan energi,1.0,normal
Energy Security,L1,keamanan pasokan,keamanan pasokan,1.0,normal
Energy Security,L1,kontinuitas pasokan,kontinuitas pasokan,1.0,normal
Energy Security,L1,kelangsungan pasokan,kelangsungan pasokan,1.0,normal
Energy Security,L1,keandalan pasokan,keandalan pasokan,1.0,normal
Energy Security,L1,penyediaan energi,penyediaan energi,1.0,normal
Energy Security,L1,pemenuhan kebutuhan energi,pemenuhan kebutuhan energi,1.35,normal
Energy Security,L1,kebutuhan energi,kebutuhan energi,1.0,normal
Energy Security,L1,kebutuhan energi nasional,kebutuhan energi nasional,1.35,normal
Energy Security,L1,permintaan energi,permintaan energi,1.0,normal
Energy Security,L1,proyeksi kebutuhan energi,proyeksi kebutuhan energi,1.35,normal
Energy Security,L1,krisis energi,krisis energi,2.0,strong
Energy Security,L1,darurat energi,darurat energi,2.0,strong
Energy Security,L1,kondisi krisis energi,kondisi krisis energi,1.35,normal
Energy Security,L1,gangguan pasokan,gangguan pasokan,1.0,normal
Energy Security,L1,kelangkaan energi,kelangkaan energi,1.0,normal
Energy Security,L1,kekurangan energi,kekurangan energi,1.0,normal
Energy Security,L1,sumber energi dalam negeri,sumber energi dalam negeri,1.35,normal
Energy Security,L1,sumber daya energi nasional,sumber daya energi nasional,1.35,normal
Energy Security,L1,energi primer,energi primer,1.0,normal
Energy Security,L1,penyediaan energi primer,penyediaan energi primer,1.35,normal
Energy Security,L1,energi final,energi final,1.0,normal
Energy Security,L1,penyediaan energi final,penyediaan energi final,1.35,normal
Energy Security,L1,rasio elektrifikasi,rasio elektrifikasi,1.0,normal
Energy Security,L1,elektrifikasi,elektrifikasi,1.0,normal
Energy Security,L1,keandalan sistem tenaga listrik,keandalan sistem tenaga listrik,1.35,normal
Energy Security,L1,sistem ketenagalistrikan,sistem ketenagalistrikan,1.0,normal
Energy Security,L1,sistem tenaga listrik,sistem tenaga listrik,1.35,normal
